"","lea_street","City","lea_state","lea_zip"
"1","215 South Main Street","Cottonwood","AZ","86326"
"2","732 West Roger Road","Tucson","AZ","85705"
"3","1547 East Lipan Boulevard","Fort Mohave","AZ","86426"
"4","425 North 36th Street","Phoenix","AZ","85008"
"5","1557 West Prince Road","Tucson","AZ","85705"
"6","6633 West Camelback Road","Phoenix","AZ","85033"
"7","1557 West Prince Road","Tucson","AZ","85705"
"8","10720 East 22nd Street","Tucson","AZ","85748"
"9","433 North Hall","Mesa","AZ","85203"
"10","5245 North Camino De Oeste","Tucson","AZ","85745"
"11","4105 East Shea Boulevard","Phoenix","AZ","85028"
"12","7624 West Indian School Road","Phoenix","AZ","85033"
"13","8556 East Loos Drive","Prescott Valley","AZ","86314"
"14","1481 North Eliseo Felix Junior Way","Avondale","AZ","85323"
"15","50023 North 514th Avenue","Aguila","AZ","85320"
"16","Phoenix, AZ Phoenix is a city in Maricopa county, Arizona","PHOENIX","AZ",NA
"17","Phoenix, AZ Phoenix is a city in Maricopa county, Arizona","PHOENIX","AZ",NA
"18","111 North Well Road","Ajo","AZ","85321"
"19","3652 Blackwater School Road","Coolidge","AZ","85128"
"20","3652 Blackwater School Road","Coolidge","AZ","85128"
"21","4510 North 37th Avenue","Phoenix","AZ","85019"
"22","5827 North 35th Avenue","Phoenix","AZ","85017"
"23","Tempe, AZ Tempe is a city in Maricopa county, Arizona","Tempe","AZ",NA
"24","6211 East Speedway Blvd","Tucson","AZ","85712"
"25","County Rd 2052 #11","Alpine","AZ","85920"
"26","10105 South Sasabe Road","Tucson","AZ","85736"
"27","3820 East Ray Road","Phoenix","AZ","85044"
"28","827 East 6th Avenue","Mesa","AZ","85204"
"29","7878 North 16th Street","Phoenix","AZ","85020"
"30","7878 North 16th Street","Phoenix","AZ","85020"
"31","7878 North 16th Street","Phoenix","AZ","85020"
"32","7878 North 16th Street","Phoenix","AZ","85020"
"33","7878 North 16th Street","Phoenix","AZ","85020"
"34","7878 North 16th Street","Phoenix","AZ","85020"
"35","7878 North 16th Street","Phoenix","AZ","85020"
"36","7878 North 16th Street","Phoenix","AZ","85020"
"37","7878 North 16th Street","Phoenix","AZ","85020"
"38","7878 North 16th Street","Phoenix","AZ","85020"
"39","2030 East Cherry Street","Cottonwood","AZ","86326"
"40","2250 East Germann Road","Chandler","AZ","85286"
"41","2471 North Arizona Avenue","Chandler","AZ","85225"
"42","701 West Wetmore Road","Tucson","AZ","85705"
"43","9168 South Avenue 36 East","Wellton","AZ","85356"
"44","3102 North 56th Street","Phoenix","AZ","85018"
"45","10488 E SKELETON CANYON RD","PORTAL","AZ","85632"
"46","801 West Southern Avenue","Apache Junction","AZ","85120"
"47","2701 South Campbell Avenue","Tucson","AZ","85713"
"48","3102 North 56th Street","Phoenix","AZ","85018"
"49","1951 North Alma School Road","Chandler","AZ","85224"
"50","3102 North 56th Street","Phoenix","AZ","85018"
"51","3102 North 56th Street","Phoenix","AZ","85018"
"52","3102 North 56th Street","Phoenix","AZ","85018"
"53","3102 North 56th Street","Phoenix","AZ","85018"
"54","16648 North 94th Street","Scottsdale","AZ","85260"
"55","3102 North 56th Street","Phoenix","AZ","85018"
"56","3102 North 56th Street","Phoenix","AZ","85018"
"57","3102 North 56th Street","Phoenix","AZ","85018"
